cycle,Voltages,C_rate,D_rate,Tem,Capacity
11,"[4.1956592 4.1946354 4.1938086 4.1932178 4.1924696 4.1919575 4.1914849
 4.1910124 4.1905794 4.1903038 4.1896343 4.1892405 4.1890435 4.1886892
 4.188571  4.1881771 4.1878228 4.1877832 4.1872716 4.186996  4.1870351
 4.1865625 4.1864839 4.1861296 4.1861296 4.1858931 4.1855779 4.1855779
 4.1852632 4.1852632 4.1850662 4.1848693 4.1846724 4.184515  4.1844358
 4.1843572 4.1841211 4.1840029 4.1840029 4.1839242 4.1837273 4.1836486
 4.1834121 4.183373  4.183373  4.1833334 4.183176  4.1830578 4.1829004
 4.1827822 4.1825852 4.1827426 4.1826248 4.1823096 4.1821914 4.1823883
 4.1822309 4.1822701 4.182034 ]",0.5,1,25,2464.051565433486
12,"[4.1957383 4.194675  4.1939659 4.1932178 4.1925483 4.1919971 4.1914849
 4.191052  4.1903429 4.1898704 4.1896734 4.1893978 4.1890435 4.1886497
 4.1883345 4.1880984 4.1877046 4.1875472 4.187232  4.1869564 4.1865625
 4.1864443 4.1864839 4.1861296 4.18609   4.1858144 4.185657  4.1854601
 4.1852632 4.1850266 4.1848693 4.1847119 4.1845937 4.1843967 4.1843572
 4.1844358 4.1840816 4.1840029 4.1837273 4.1835303 4.183609  4.1835699
 4.1833334 4.1832938 4.183373  4.1829395 4.1829004 4.1827426 4.1827426
 4.1825457 4.182467  4.1825457 4.1823883 4.1823883 4.1821914 4.1821127
 4.1819553 4.1819553 4.1819158]",0.5,1,25,2462.384841215279
13,"[4.1958561 4.1945567 4.1938872 4.1930208 4.1925879 4.1919575 4.1914063
 4.190855  4.1903429 4.1899886 4.1893978 4.1892009 4.1889253 4.1886497
 4.1884923 4.1879015 4.1877441 4.187429  4.187232  4.1868382 4.1866412
 4.1864443 4.1861296 4.1861296 4.1858931 4.1856961 4.1856174 4.1851449
 4.1851053 4.1848297 4.1845541 4.184751  4.1845937 4.184515  4.1840816
 4.1841211 4.1838455 4.1837273 4.1836877 4.1834908 4.1834517 4.183373
 4.1832547 4.1831365 4.1831365 4.1827822 4.1829004 4.1827822 4.1825852
 4.1824279 4.1823487 4.1823487 4.1823096 4.1819944 4.1821523 4.1820731
 4.1819158 4.1819158 4.1817975]",0.5,1,25,2459.879007873534
14,"[4.1958957 4.1946354 4.1936512 4.1929817 4.1925092 4.1919575 4.1914063
 4.1907763 4.1903825 4.1899886 4.1895947 4.18928   4.1887679 4.1885314
 4.1882558 4.1879411 4.1877832 4.1872716 4.186996  4.1869564 4.1865234
 4.1864052 4.1860504 4.1859326 4.1858931 4.1855388 4.1853418 4.1853814
 4.1852236 4.184948  4.1846724 4.1843572 4.1844358 4.1844358 4.1841211
 4.1841211 4.1838455 4.1837273 4.1837273 4.1834517 4.1832938 4.1832151
 4.1832547 4.1829791 4.1828609 4.1830182 4.1827822 4.1827426 4.1826639
 4.1824279 4.1823096 4.1824279 4.1822701 4.1821523 4.1820731 4.1820731
 4.1818371 4.1817188 4.1818371]",0.5,1,25,2458.024591832952
15,"[4.1956987 4.1945963 4.1938872 4.1929817 4.1923513 4.1920366 4.1914063
 4.1908154 4.1903429 4.1900282 4.1894374 4.1892405 4.1888466 4.1886106
 4.1881771 4.1880589 4.187429  4.1873503 4.187232  4.1869168 4.1866021
 4.1864443 4.1862869 4.1859326 4.1858144 4.1855388 4.1853418 4.1853023
 4.1850662 4.184751  4.1848693 4.1844754 4.184515  4.1844358 4.1840816
 4.1841211 4.1838059 4.1837273 4.1835303 4.1836877 4.183373  4.1832151
 4.1832151 4.1832151 4.1828213 4.1830578 4.1827035 4.1826248 4.1823487
 4.1822701 4.1823096 4.1822309 4.1821127 4.1819158 4.1819944 4.1819158
 4.1817584 4.1817975 4.1815615]",0.5,1,25,2455.621785865206
16,"[4.1956201 4.1947536 4.193769  4.1930995 4.1925483 4.1918001 4.1914063
 4.1909337 4.1903825 4.1899099 4.1895556 4.1892009 4.188807  4.1886497
 4.1883345 4.1878228 4.1875863 4.187429  4.1871138 4.1868382 4.1866412
 4.1865625 4.1862869 4.1861296 4.1856961 4.185657  4.1853814 4.1852236
 4.1850662 4.184751  4.1848693 4.1846328 4.1844754 4.1841998 4.1840425
 4.1840425 4.1838455 4.1838846 4.1835699 4.1834121 4.1834517 4.1830974
 4.183176  4.1828609 4.1829791 4.1829004 4.1826639 4.1826639 4.1825066
 4.1822701 4.1823096 4.1822701 4.1821127 4.1821127 4.1819553 4.1821127
 4.1818371 4.1817584 4.1816006]",0.5,1,25,2453.788404647492
17,"[4.1956592 4.1946354 4.1936116 4.1931391 4.1925879 4.1917605 4.1914063
 4.1907368 4.1903038 4.1899886 4.189713  4.1891618 4.1888466 4.188571
 4.1882167 4.1876655 4.1873503 4.187232  4.186996  4.1865234 4.1865234
 4.1861296 4.1859326 4.1859326 4.1856174 4.1855388 4.1853418 4.1849875
 4.1848693 4.1847906 4.1844754 4.1843181 4.1842785 4.1841211 4.1840029
 4.1839242 4.183609  4.1835699 4.183373  4.1832547 4.183176  4.1831365
 4.1829395 4.1829395 4.1827426 4.1825066 4.1826639 4.1824279 4.1823487
 4.1822701 4.1821523 4.1821127 4.1819553 4.1818762 4.1818371 4.1816401
 4.1817188 4.1814432 4.1813645]",0.5,1,25,2451.777597667507
18,"[4.1956201 4.1943598 4.1936903 4.1929421 4.1923122 4.1918397 4.1911702
 4.1906581 4.1902251 4.1897917 4.1894765 4.1890435 4.1886497 4.1884136
 4.1880984 4.1876655 4.187429  4.1871533 4.1868382 4.1864443 4.1864839
 4.1859717 4.1859326 4.1856961 4.1854601 4.1853418 4.1851053 4.184751
 4.184751  4.1846328 4.1844754 4.1843967 4.1841211 4.1839633 4.1838846
 4.1837668 4.1834517 4.1835303 4.1832547 4.183176  4.1830182 4.1828609
 4.1828213 4.1825852 4.1825457 4.1826639 4.1824279 4.1821914 4.1821523
 4.1821914 4.1819553 4.1819944 4.1817584 4.1817584 4.1817975 4.1815615
 4.1812859 4.181325  4.1812067]",0.5,1,25,2450.132160399849
19,"[4.1955805 4.194478  4.1937299 4.1927452 4.1923909 4.1916819 4.1911702
 4.1906977 4.1900673 4.1897526 4.18928   4.1890039 4.1884923 4.1883345
 4.188138  4.1877832 4.1873894 4.1870351 4.1868382 4.1865625 4.1862869
 4.1861687 4.18609   4.185657  4.1853023 4.1853023 4.1850266 4.1848297
 4.184751  4.1845937 4.1843181 4.1844358 4.1841211 4.1838846 4.1837668
 4.1837273 4.1834517 4.1833334 4.1831365 4.1830578 4.1830578 4.1830578
 4.1828609 4.1827035 4.1825852 4.1823487 4.1823487 4.1822309 4.1820731
 4.1821127 4.1819158 4.1819944 4.1818762 4.1816401 4.1815615 4.1815219
 4.1814036 4.181325  4.1812067]",0.5,1,25,2448.077978998753
20,"[4.1955805 4.1946354 4.193572  4.1928635 4.1923513 4.1916032 4.1911702
 4.1906581 4.190146  4.1897917 4.1894765 4.1890831 4.1887283 4.1882954
 4.1879802 4.1877441 4.1875076 4.1870351 4.1868777 4.186799  4.1864443
 4.1862082 4.18609   4.185657  4.1853814 4.1853023 4.1851449 4.1849875
 4.184751  4.1845937 4.1844754 4.1843572 4.1841998 4.1841998 4.1837668
 4.1836486 4.1834908 4.1833334 4.1832151 4.1830578 4.1829004 4.1830974
 4.1828609 4.1825457 4.1826639 4.1825066 4.1824279 4.1823487 4.1821914
 4.182034  4.1819158 4.182034  4.1817975 4.1817584 4.1816006 4.1814432
 4.181325  4.1814036 4.1812463]",0.5,1,25,2446.555107224935
21,"[4.1956592 4.194675  4.1936903 4.1929421 4.192194  4.1917605 4.1910124
 4.1905398 4.1902251 4.189713  4.1893587 4.1890039 4.1886497 4.1884923
 4.1879411 4.1877441 4.1873107 4.1870747 4.1869168 4.1867199 4.1862473
 4.1861296 4.1859326 4.1856174 4.1855388 4.1854205 4.1853023 4.1849875
 4.1847906 4.1843967 4.1842785 4.1842785 4.1841602 4.1840029 4.1838455
 4.1836486 4.183609  4.1834908 4.183373  4.183176  4.1832151 4.1827426
 4.1830578 4.1827822 4.1825852 4.1823883 4.1825457 4.1823487 4.182034
 4.1821914 4.1819944 4.1818762 4.1817584 4.1817188 4.1816792 4.1815615
 4.1814432 4.1814432 4.1812859]",0.5,1,25,2444.862370931124
22,"[4.1956201 4.1945567 4.193769  4.1929817 4.1923909 4.1917605 4.1912093
 4.1906185 4.1901069 4.1895556 4.1891618 4.1890039 4.188807  4.1883345
 4.188138  4.1875472 4.187232  4.1870747 4.1868382 4.1864443 4.1862082
 4.1860504 4.1858931 4.185657  4.1854205 4.1850662 4.1848297 4.1847906
 4.1845541 4.184515  4.1843181 4.1842394 4.1840029 4.1838059 4.1838846
 4.183609  4.183373  4.1832938 4.1830182 4.1829791 4.1829395 4.1827822
 4.1827822 4.1825066 4.1822701 4.1823883 4.1821914 4.1821523 4.182034
 4.1818762 4.1818371 4.1816401 4.1816792 4.1814432 4.1815615 4.1814036
 4.181325  4.1813645 4.1812463]",0.5,1,25,2443.4336540252
23,"[4.1956592 4.1943598 4.1936116 4.1928239 4.192194  4.1916032 4.1910911
 4.1905398 4.1900673 4.1897917 4.1893978 4.1889253 4.1884527 4.1881771
 4.1879802 4.1877441 4.187232  4.1869168 4.1866412 4.1866021 4.1862473
 4.1861296 4.1858931 4.1855779 4.1853023 4.1852632 4.184948  4.1846724
 4.1844754 4.1844358 4.1843181 4.1840425 4.1840029 4.1837668 4.1835699
 4.1835303 4.1834121 4.1830182 4.1831365 4.1830974 4.1828213 4.1827035
 4.1826639 4.1824279 4.1823487 4.1821914 4.1819553 4.1821914 4.1818762
 4.1819158 4.1818762 4.1817188 4.1817584 4.1815219 4.1814432 4.1811676
 4.1812463 4.1811676 4.1810889]",0.5,1,25,2441.570710521105
24,"[4.1955018 4.1945963 4.1934543 4.1930604 4.1922727 4.1918397 4.1911702
 4.1905398 4.1900673 4.1895556 4.1891222 4.1889253 4.1886106 4.1882167
 4.1878228 4.1875472 4.187429  4.1870351 4.1868382 4.1862473 4.1861687
 4.1859717 4.1856961 4.1855388 4.1853023 4.1851845 4.1848297 4.1846724
 4.1844358 4.1843967 4.1841998 4.1841211 4.1838455 4.1838846 4.1838455
 4.183373  4.183176  4.1832151 4.1829004 4.1829004 4.1826639 4.1828213
 4.1825852 4.182467  4.1823096 4.1822701 4.1822701 4.1819553 4.1818762
 4.1819553 4.1817975 4.1816401 4.1814036 4.1813645 4.1814036 4.1812463
 4.1811676 4.180892  4.1812067]",0.5,1,25,2440.912507840713
25,"[4.1955414 4.1943598 4.1933751 4.1929026 4.1922331 4.1915245 4.1909337
 4.1905398 4.1901069 4.1896343 4.1890831 4.1886106 4.188571  4.1880984
 4.1878619 4.1876655 4.1869564 4.186799  4.1865625 4.1862869 4.1859717
 4.1857748 4.1856961 4.1853023 4.1851449 4.1849089 4.184751  4.1847906
 4.1842785 4.1840816 4.1839633 4.1838059 4.1838455 4.1834121 4.1833334
 4.183176  4.1830578 4.1830578 4.1829791 4.1825457 4.1825852 4.1825066
 4.1825066 4.1821914 4.1823096 4.1818371 4.1817975 4.1818371 4.1816006
 4.1816401 4.1814432 4.1815219 4.1812463 4.1812067 4.180892  4.1810102
 4.180892  4.1809311 4.1806951]",0.5,1,25,2438.861055338406
26,"[4.1955018 4.1943994 4.193572  4.1927848 4.1921544 4.1914849 4.191052
 4.1905398 4.1900282 4.1895161 4.1890831 4.1888466 4.188374  4.1881771
 4.1876655 4.1874685 4.187232  4.1869564 4.1864443 4.1863656 4.1859326
 4.185854  4.1854992 4.1853418 4.1853418 4.1849875 4.184751  4.1845937
 4.1843181 4.1841211 4.1839633 4.1840029 4.1838059 4.1834908 4.1833334
 4.1830974 4.1831365 4.1829791 4.1829004 4.1825066 4.1823883 4.1826248
 4.1823096 4.1821914 4.182034  4.182034  4.182034  4.1816006 4.1817188
 4.1816006 4.1814432 4.1813645 4.1812067 4.1810493 4.1810102 4.1812067
 4.180892  4.180892  4.1810102]",0.5,1,25,2437.4541092057307
27,"[4.1956201 4.1943598 4.193572  4.1929026 4.1921544 4.1915245 4.1909337
 4.1905794 4.1901069 4.1895161 4.1891618 4.1886497 4.1883345 4.1878228
 4.1875863 4.1873107 4.1871138 4.1867199 4.1864839 4.1864052 4.1859326
 4.1858931 4.1855779 4.1851845 4.1852236 4.1849089 4.1846328 4.184515
 4.1841998 4.1841602 4.1840816 4.1838846 4.1836486 4.1834121 4.1834517
 4.1830974 4.1830974 4.1829791 4.1828213 4.1827822 4.1825457 4.182467
 4.1822701 4.1821523 4.1821523 4.1819944 4.1818371 4.1816792 4.1817188
 4.1816792 4.1814432 4.1814432 4.1812859 4.1810102 4.181128  4.1810102
 4.1808133 4.1805768 4.1808524]",0.5,1,25,2435.437147084011
28,"[4.1957383 4.1944385 4.193572  4.1927848 4.1921544 4.1914849 4.191052
 4.1906185 4.1899099 4.1896734 4.1890831 4.1889648 4.1882954 4.1879802
 4.1879015 4.1873503 4.1871924 4.1869168 4.1862869 4.1862473 4.1859326
 4.1857748 4.185657  4.1853023 4.1851053 4.1848693 4.1847906 4.1846328
 4.1844358 4.1841602 4.1841602 4.1838455 4.1836486 4.1835303 4.1834121
 4.1832151 4.183176  4.1829004 4.1828213 4.1827035 4.1825457 4.182467
 4.1822309 4.1822701 4.1819553 4.1818762 4.1816792 4.1817975 4.1816792
 4.1813645 4.1812463 4.1814432 4.181325  4.1810102 4.1809311 4.1809311
 4.1808524 4.1808133 4.1806555]",0.5,1,25,2434.105436314561
